filename,bug_fixes,avg_len,unique
FilterTest.java,1,7.428571428571429,10
Correspondent.java,0,11.0,2
TestWithParametersTest.java,0,18.31578947368421,23
MethodSorter.java,1,9.2,11
AllMembersSupplierTest.java,1,20.033898305084747,32
IgnoredClassRunner.java,0,10.5,4
JUnit4.java,1,6.0,1
InheritedTestCase.java,0,11.0,2
PrintableResult.java,2,9.909090909090908,6
InitializationError.java,1,13.8,4
InitializationError.java,1,13.8,4
RuleMemberValidator.java,1,13.511111111111111,23
PrintableResultTest.java,1,14.9,8
Classes.java,1,7.333333333333333,2
SortableTest.java,0,10.846153846153847,27
FailingDataPointMethods.java,0,19.675675675675677,17
RepeatedTest.java,0,8.333333333333334,6
ParallelComputer.java,1,8.3,11
FrameworkMember.java,2,10.88888888888889,8
Describable.java,1,12.5,2
WithExtendedParameterSources.java,1,15.755102040816327,27
AssumptionViolatedExceptionTest.java,1,18.321428571428573,16
AssumptionViolatedException.java,0,17.06896551724138,8
AssumptionViolatedException.java,2,17.06896551724138,8
Sub.java,0,3.0,1
Verifier.java,6,6.75,4
NoTestCases.java,0,10.5,2
FailedConstructionTest.java,0,12.875,7
WithOnlyTestAnnotations.java,1,15.722222222222221,16
TestCase.java,0,7.3076923076923075,9
MoneyTest.java,0,5.96875,11
MoneyTest.java,0,5.96875,11
Categories.java,6,10.083333333333334,15
CategoryValidatorTest.java,1,22.136363636363637,17
ExcludeCategories.java,1,11.666666666666666,4
ParallelMethodTest.java,1,7.4375,11
VerifierRuleTest.java,2,13.930232558139535,20
RunnerTest.java,0,8.75,15
ErrorReportingRunner.java,2,11.3125,11
TestListener.java,0,9.2,5
AllTestsTest.java,0,7.333333333333333,7
AssertionTest.java,9,13.0,1
MaxHistory.java,3,11.88888888888889,19
AnnotatedDescriptionTest.java,0,19.473684210526315,16
Version.java,3,7.0,1
NameRulesTest.java,0,7.428571428571429,10
Guesser.java,1,8.818181818181818,21
TextFeedbackTest.java,0,8.526315789473685,20
JUnit4ClassRunner.java,0,9.857142857142858,28
CategoriesAndParameterizedTest.java,2,18.551724137931036,17
AnnotationsValidator.java,0,18.17241379310345,16
CategoryFilterFactoryTest.java,2,14.0,13
IgnoreClassTest.java,0,8.833333333333334,6
FilterFactoriesTest.java,0,18.272727272727273,8
ResultMatchers.java,1,13.083333333333334,8
FailOnTimeout.java,6,10.393939393939394,18
ArrayComparisonFailure.java,0,11.384615384615385,8
AllMembersSupplier.java,4,12.225,29
WithUnresolvedGenericTypeVariablesOnTheoryParms.java,0,17.88235294117647,26
ExpectedExceptionMatcherBuilder.java,0,11.666666666666666,8
StubbedTheories.java,4,14.461538461538462,10
FilterableTest.java,1,11.916666666666666,10
InexactComparisonCriteria.java,3,17.666666666666668,3
JUnit4TestCaseFacade.java,0,12.875,6
CouldNotReadCoreException.java,0,20.5,2
SuiteMethodBuilder.java,0,15.333333333333334,3
NullBuilder.java,0,12.5,2
StacktracePrintingMatcher.java,0,15.916666666666666,9
SimpleTest.java,1,7.055555555555555,8
SimpleTest.java,1,7.055555555555555,8
TemporaryFolderUsageTest.java,2,30.666666666666668,33
UnsuccessfulWithDataPointFields.java,5,11.238095238095237,40
JUnit3Builder.java,0,12.333333333333334,3
TestedOnSupplier.java,1,9.4,5
AllTests.java,1,5.842105263157895,3
AllTests.java,0,5.842105263157895,3
AllTests.java,0,5.842105263157895,3
AllTests.java,0,5.842105263157895,3
AllTests.java,1,5.842105263157895,3
AllTests.java,0,5.842105263157895,3
AllTests.java,17,5.842105263157895,3
ParentRunner.java,13,10.571428571428571,4
ForwardCompatibilityPrintingTest.java,0,9.6,16
TestRule.java,5,6.5,2
TestDescriptionMethodNameTest.java,1,15.875,5
ParentRunnerTest.java,5,12.88888888888889,31
Fail.java,0,5.2,3
StacktracePrintingMatcherTest.java,1,21.5,6
JavadocTest.java,0,5.2727272727272725,11
TempFolderRuleTest.java,3,14.0,8
InheritedTestTest.java,0,15.11111111111111,9
TestRunner.java,2,8.0,34
MatcherTest.java,1,17.333333333333332,6
RunRules.java,1,8.333333333333334,4
FilterFactories.java,1,15.545454545454545,8
AllDefaultPossibilitiesBuilder.java,0,16.384615384615383,10
ConcurrentRunNotifierTest.java,1,12.137931034482758,20
FailureList.java,0,8.25,4
SuiteDescriptionTest.java,1,12.533333333333333,9
TestRuleTest.java,4,11.239234449760765,102
FilterFactory.java,1,18.75,3
OverrideTestCase.java,0,12.0,2
MethodRulesTest.java,3,11.019047619047619,61
RunAfters.java,1,6.153846153846154,6
TestImplementorTest.java,0,9.8125,12
WithNamedDataPoints.java,1,14.176470588235293,13
ExpectException.java,1,8.090909090909092,6
OneTestCase.java,0,9.25,3
TestWatcherTest.java,3,13.87037037037037,24
SuiteTest.java,0,12.622222222222222,34
SuiteTest.java,0,12.622222222222222,34
StoppedByUserException.java,1,18.0,2
Test.java,0,7.0,3
Test.java,5,7.0,3
Description.java,7,12.833333333333334,34
WasRun.java,0,6.75,3
TypeMatchingBetweenMultiDataPointsMethod.java,1,21.923076923076923,9
ParameterizedTestMethodTest.java,0,9.931818181818182,39
JUnit4ClassRunnerTest.java,0,15.25,8
TestWithParameters.java,0,8.666666666666666,14
TheoryTestUtils.java,1,13.833333333333334,5
FilterFactoryParams.java,0,13.6,5
TemporaryFolderRuleAssuredDeletionTest.java,0,15.157894736842104,13
TestListenerTest.java,1,9.568181818181818,30
TestListenerTest.java,0,9.568181818181818,30
TestFailure.java,0,11.214285714285714,11
Failure.java,1,11.35,13
Failure.java,0,11.35,13
ParametersRunnerFactory.java,0,28.0,2
Sortable.java,1,6.0,2
MoneyBag.java,0,6.793103448275862,26
FailOnTimeoutTest.java,4,17.8,3
TestClassValidator.java,0,17.5,2
NoGenericTypeParametersValidator.java,0,23.9,7
Assert.java,3,12.056,33
Assert.java,16,12.056,33
Runner.java,2,8.0,4
ParentRunnerFilteringTest.java,2,10.384615384615385,10
TestCaseTest.java,0,9.857142857142858,6
ResultMatchersTest.java,0,27.333333333333332,3
ClassRoadie.java,0,9.6,11
ListTest.java,0,6.052631578947368,20
ListTest.java,0,6.052631578947368,20
ErrorReportingRunnerTest.java,2,25.2,5
ActiveTestSuite.java,0,14.11111111111111,4
TestDescriptionTest.java,1,35.25,4
DescriptionTest.java,0,24.0,12
TestClass.java,1,11.444444444444445,24
TestClass.java,5,11.444444444444445,24
DisableOnDebugTest.java,1,23.82608695652174,26
TestSuite.java,4,9.666666666666666,6
DisableOnDebug.java,1,9.0,5
CustomBlockJUnit4ClassRunnerTest.java,0,18.95,16
CategoryTest.java,1,10.5,2
Filter.java,2,4.0,2
ComparisonCriteria.java,1,13.333333333333334,2
FrameworkField.java,2,9.6,12
TextRunnerSingleMethodTest.java,0,11.88888888888889,8
ActiveTestTest.java,0,9.578947368421053,12
StackFilterTest.java,0,8.0,9
MethodSorterTest.java,5,8.758620689655173,20
IncludeCategories.java,1,11.666666666666666,4
CategoryValidator.java,2,15.875,7
Filterable.java,1,8.0,2
Assume.java,4,11.0,6
BooleanSupplier.java,0,15.0,2
Suite.java,2,8.133333333333333,8
FloatAssertTest.java,0,27.0,9
TestWatcher.java,7,10.416666666666666,12
FrameworkFieldTest.java,0,15.05,12
WhenNoParametersMatch.java,2,11.307692307692308,9
Money.java,0,7.1,17
RunnerSpy.java,0,13.846153846153847,8
ExpectedTest.java,0,8.80952380952381,15
AssertTest.java,2,9.0,2
TestedOnSupplierTest.java,2,13.142857142857142,7
CategoryFilterFactory.java,4,14.666666666666666,5
Assignments.java,3,12.463414634146341,28
OldTests.java,0,6.5,2
ListenerTest.java,0,12.0,7
RepeatedTestTest.java,0,10.5,10
TestClassTest.java,0,16.419354838709676,44
StubbedTheoriesTest.java,0,11.0,2
StringableObject.java,0,9.333333333333334,6
RuleMemberValidatorTest.java,1,19.57547169811321,57
TestTimedOutException.java,0,11.666666666666666,6
NotPublicTestCase.java,0,13.333333333333334,3
AnnotationsValidatorTest.java,0,19.2,19
MaxStarterTest.java,2,9.25,14
EventCollector.java,1,15.204545454545455,29
SuccessfulWithDataPointFields.java,1,9.136986301369863,27
RuleChainTest.java,1,8.625,11
Stopwatch.java,5,7.6875,10
MethodValidator.java,0,13.117647058823529,12
AssumingInTheoriesTest.java,1,21.5,7
JUnit4TestAdapterCache.java,0,11.0,14
RealSystem.java,0,5.666666666666667,3
Protectable.java,0,9.0,2
JUnitCoreReturnsCorrectExitCodeTest.java,0,14.909090909090908,11
TestMethodTest.java,0,9.379310344827585,28
SuiteMethod.java,0,13.666666666666666,2
NoArgTestCaseTest.java,0,14.0,2
TheoriesPerformanceTest.java,0,9.4,4
TextRunnerTest.java,0,10.6,5
TestSystem.java,0,7.090909090909091,6
AnnotationValidator.java,1,21.0,5
MethodCall.java,0,7.588235294117647,12
Theories.java,6,13.096774193548388,23
Super.java,0,3.0,2
InitializationErrorForwardCompatibilityTest.java,0,15.142857142857142,22
ValidationError.java,0,15.5,2
BadlyFormedClassesTest.java,0,14.5,6
ObjectContractTest.java,0,15.666666666666666,5
BlockJUnit4ClassRunnerWithParameters.java,1,14.857142857142858,27
TimeoutRuleTest.java,3,7.466666666666667,11
BlockJUnit4ClassRunnerWithParametersTest.java,1,19.11111111111111,8
TimeoutTest.java,2,12.875,18
ValidationTest.java,1,17.0,9
TextListener.java,1,10.333333333333334,14
UserStopTest.java,0,9.625,7
SynchronizedRunListener.java,1,11.157894736842104,14
ExternalResource.java,3,8.8,5
OldTestClassAdaptingListenerTest.java,0,15.285714285714286,7
MultipleFailureException.java,0,14.333333333333334,7
MultipleFailureException.java,2,14.333333333333334,7
SynchronizedRunListenerTest.java,2,12.1,24
Throwables.java,1,12.666666666666666,2
ParameterizedNamesTest.java,1,20.714285714285715,6
BlockJUnit4ClassRunnerTest.java,1,13.666666666666666,6
Parameterized.java,15,13.93939393939394,27
ComparisonFailureTest.java,1,10.9,5
ComparisonFailureTest.java,0,10.9,5
Sorter.java,3,7.0,6
SpecificDataPointsSupplierTest.java,1,19.145833333333332,29
ParameterSupplier.java,1,16.0,2
ParameterizedAssertionError.java,1,10.916666666666666,9
TestWatchman.java,3,8.0,7
JUnitCommandLineParseResult.java,1,10.8125,23
ExactComparisonCriteria.java,0,21.0,2
RunNotifierTest.java,1,20.833333333333332,5
FrameworkMethod.java,5,10.636363636363637,24
MaxCore.java,2,11.666666666666666,7
SuiteMethodTest.java,0,10.6875,11
Request.java,4,8.5625,12
GuesserQueue.java,0,11.647058823529411,12
RunBefores.java,0,6.583333333333333,5
ReflectiveCallable.java,0,12.666666666666666,3
TestSetup.java,0,6.0,6
Computer.java,1,9.0,5
ThreeTestCases.java,0,14.75,4
MultiCategoryTest.java,0,5.6,5
ExpectedException.java,9,16.076923076923077,18
ExpectedExceptionTest.java,4,14.075757575757576,28
BaseTestRunner.java,3,12.05,15
ExternalResourceRuleTest.java,0,14.2,8
ComparisonFailure.java,0,11.194029850746269,31
ComparisonFailure.java,1,11.194029850746269,31
ResultPrinter.java,0,8.933333333333334,11
RunListener.java,3,13.25,8
JUnit4TestAdapter.java,0,10.909090909090908,6
StopwatchTest.java,1,10.456140350877194,33
TextListenerTest.java,0,7.315789473684211,17
SingleMethodTest.java,0,11.630434782608695,30
TestDecorator.java,0,8.444444444444445,7
TemporaryFolder.java,6,11.321428571428571,9
WithDataPointMethod.java,2,14.478260869565217,18
JUnitCore.java,4,8.380952380952381,13
NoTestCaseClass.java,0,13.0,2
CommandLineTest.java,0,8.1,16
BlockJUnit4ClassRunnerOverrideTest.java,2,16.435897435897434,28
PublicClassValidator.java,0,19.25,3
WithAutoGeneratedDataPoints.java,0,22.36842105263158,12
IMoney.java,0,7.111111111111111,9
TestRunListener.java,0,12.454545454545455,9
RuleChain.java,6,13.916666666666666,8
JUnit38ClassRunnerTest.java,3,12.675,31
AssertionFailedError.java,1,17.5,3
JUnitMatchers.java,4,8.909090909090908,9
ExtensionTest.java,0,9.413793103448276,16
ThrowableCauseMatcher.java,0,14.555555555555555,6
Annotatable.java,0,12.666666666666666,3
AnnotationValidatorFactoryTest.java,1,22.384615384615383,10
AnnotationTest.java,2,9.462585034013605,81
WithParameterSupplier.java,1,20.375,24
Statement.java,2,8.5,2
JUnitCoreTest.java,0,13.25,4
NotVoidTestCase.java,0,11.333333333333334,3
NoTestsRemainException.java,1,18.0,2
JUnit38SortingTest.java,0,10.0,15
FilterRequest.java,2,8.3,5
FrameworkMethodTest.java,0,16.27777777777778,12
BaseTestRunnerTest.java,1,11.363636363636363,10
RunnerBuilder.java,1,9.916666666666666,8
LoggingTestWatcher.java,1,8.3,7
ComparisonCompactor.java,0,10.59375,22
EachTestNotifier.java,0,13.642857142857142,9
Timeout.java,8,10.891891891891891,17
TestWatchmanTest.java,2,11.88888888888889,13
ExperimentalTests.java,0,17.0,1
SpecificDataPointsSupplier.java,0,16.09090909090909,12
ResultTest.java,0,14.423076923076923,20
ThrowableCauseMatcherTest.java,0,21.0,4
ParameterizedTestTest.java,3,14.028571428571428,61
JUnitCommandLineParseResultTest.java,0,18.70731707317073,28
ParameterSignature.java,1,12.4375,22
ErrorCollector.java,2,8.333333333333334,7
JUnit4Builder.java,0,13.5,2
DoublePrecisionAssertTest.java,0,29.5,8
SortingRequest.java,0,9.4,5
AnnotatedBuilderTest.java,0,19.90625,16
AssumptionTest.java,2,18.766666666666666,43
InvokeMethod.java,0,8.88888888888889,4
MethodRule.java,3,7.5,2
ComparisonCompactorTest.java,1,18.487179487179485,21
BlockJUnit4ClassRunnerWithParametersFactory.java,0,38.0,2
Success.java,0,8.333333333333334,3
ParallelClassTest.java,0,9.5,14
JUnitSystem.java,0,6.0,3
RunnerBuilderStub.java,0,15.5,2
AssertionFailedErrorTest.java,1,18.88888888888889,6
MainRunner.java,0,14.686274509803921,37
ForwardCompatibilityTest.java,1,9.21951219512195,53
ParameterizedAssertionErrorTest.java,1,15.565217391304348,17
UseSuiteAsASuperclassTest.java,0,9.272727272727273,10
PotentialAssignmentTest.java,0,14.222222222222221,9
ClassRulesTest.java,2,12.909090909090908,38
ThrowableMessageMatcher.java,0,13.555555555555555,6
PotentialAssignment.java,0,16.307692307692307,8
ClassRequest.java,1,11.285714285714286,6
MethodRoadie.java,0,8.5625,8
MultipleFailureExceptionTest.java,0,20.928571428571427,9
AnnotatedBuilder.java,0,16.642857142857142,9
Enclosed.java,1,12.25,3
TestMethod.java,0,9.68421052631579,13
JUnit38ClassRunner.java,3,14.25,5
EnumSupplier.java,0,10.5,5
BlockJUnit4ClassRunner.java,18,20.0,2
RunNotifier.java,2,13.472222222222221,22
RunnerScheduler.java,1,10.333333333333334,3
RunWithTest.java,0,9.933333333333334,10
ClassRequestTest.java,0,16.75,4
PublicClassValidatorTest.java,0,14.181818181818182,8
IgnoredBuilder.java,0,14.0,2
AnnotationValidatorFactory.java,2,20.857142857142858,6
TestResult.java,0,8.464285714285714,22
ReguessableValue.java,0,13.666666666666666,2
ParameterSignatureTest.java,1,14.125,19
ClassLevelMethodsWithIgnoredTestsTest.java,0,19.476190476190474,16
Result.java,3,11.378378378378379,26
EnclosedTest.java,1,10.1875,13
TestName.java,2,7.4,4
TypeSafeMatcher.java,1,11.23076923076923,8
FilterOptionIntegrationTest.java,0,13.651162790697674,28
